core_id,depth_from,depth_to,loi550,no_sand
TL09_A_20,0,0.5,49.5431297051913,0
TL09_A_20,21,21.5,27.7762283270578,1358
TL09_A_20,26.5,27,22.9175747287296,312
TL09_A_20,27,27.5,22.5027626963923,846
TL09_C_110,0,0.5,54.5150501672216,7
TL09_C_110,36.5,37,40.1870634200238,581
TL09_C_110,43,43.5,30.6803130644189,1427
TL09_C_110,43.5,44,20.7459952283566,894
TL09_C_70,0,0.5,54.7145820785662,2
TL09_C_70,35,35.5,61.8331668331681,2
TL09_C_70,40.5,41,16.3302277432714,1826
TL09_C_70,41,41.5,70.71915759244,1117
TL09_B_30,0,0.5,53.1457062258071,2
TL09_B_30,29.5,30,40.359378154654,182
TL09_B_30,35.5,36,65.8128148726314,50
TL09_B_30,36,36.5,67.2708894878725,74
TL09_A_40,0,0.5,42.9500710808596,44
TL09_A_40,25.5,26,38.5245676262753,115
TL09_A_40,34.5,35,66.7693332223406,215
TL09_A_40,35,35.5,62.4681573733362,206
TL09_C_30,0,1.5,47.8529635383963,496
TL09_C_30,23.5,24,22.7948025702961,1488
TL09_C_30,28,28.5,54.3459332872961,1857
TL09_C_30,28.5,29,70.0715047356206,299
TL09_22_02,0,1,58.3755565791495,7
TL09_22_02,51,52,11.7974803025734,1649
TL09_22_02,55.5,56,32.518462697813,1327
TL09_22_02,56,56.5,50.7297849566995,78
TL09_22_01,0,0.5,53.1262854792252,35
TL09_22_01,21.5,22.5,12.4507495131558,3661
TL09_22_01,34.5,35,64.3735335523241,296
TL09_22_01,35,35.5,61.0826779844376,81
TL09_B_60,0,0.5,50.7868288812491,31
TL09_B_60,28,28.5,42.2046751078339,610
TL09_B_60,46.5,47,10.5804262115089,495
TL09_B_60,47,47.5,61.1815332803233,228
